kpi_name,formula,business_meaning,grain,owner,refresh_frequency,dashboard_usage,sql_logic,dax_logic,threshold_or_benchmark
Revenue,SUM(fact_orders[net_revenue]),Net selling revenue after order status and discounts.,order,Finance Analytics,Daily,"Executive, product, channel dashboards",SUM(net_revenue),Revenue = SUM(fact_orders[net_revenue]),Grow MoM
Gross Profit,SUM(gross_revenue - cost),Pre-return order profit proxy.,order,Finance Analytics,Daily,Executive and product dashboards,SUM(gross_revenue - cost),Gross Profit = SUM(fact_orders[gross_revenue]) - SUM(fact_orders[cost]),Positive by category
Net Profit,SUM(return_adjusted_profit),Profit after return impact.,order,Finance Analytics,Daily,Executive and product dashboards,SUM(return_adjusted_profit),Net Profit = SUM(fact_orders[return_adjusted_profit]),Positive margin
Margin %,return_adjusted_profit / net_revenue,Return-adjusted profitability rate.,order/category/product,Finance Analytics,Daily,Product profitability,"SUM(return_adjusted_profit) / NULLIF(SUM(net_revenue),0)","Margin % = DIVIDE([Net Profit], [Revenue])",Above 30%
Return-adjusted Revenue,net_revenue - return_loss,Revenue after return leakage.,order,Finance Analytics,Daily,Revenue leakage,SUM(net_revenue - return_loss),Return Adjusted Revenue = SUM(fact_orders[net_revenue]) - SUM(fact_orders[return_loss]),Reduce leakage
Return-adjusted Profit,SUM(return_adjusted_profit),Profit after returns and discounts.,order,Finance Analytics,Daily,"Executive, product",SUM(return_adjusted_profit),Return Adjusted Profit = SUM(fact_orders[return_adjusted_profit]),Grow MoM
Churn Rate,AVG(churn_label),Share of customers likely inactive or lapsed.,customer,Customer Analytics,Model scoring run,Churn dashboard,AVG(churn_label),Churn Rate = AVERAGE(fact_customer_value[churn_label]),Below 25%
Retention Rate,1 - churn_rate,Share of customers retained.,customer,Customer Analytics,Model scoring run,Customer overview,1 - AVG(churn_label),Retention Rate = 1 - [Churn Rate],Above 75%
Repeat Purchase Rate,AVG(repeat_purchase_flag),First-to-repeat conversion health.,customer,Customer Analytics,Daily,Customer overview,AVG(repeat_purchase_flag),Repeat Purchase Rate = AVERAGE(fact_customer_value[repeat_purchase_flag]),Above 45%
Average Order Value,net_revenue / completed_orders,Average completed order size.,order,BI Engineering,Daily,Executive and segment dashboards,"SUM(net_revenue) / NULLIF(COUNT(DISTINCT order_id),0)","Average Order Value = DIVIDE([Revenue], [Completed Orders])",Monitor by segment
Customer Lifetime Value,historical_clv + predicted_future_profit,Expected customer economic value.,customer,Customer Analytics,Model scoring run,CLV dashboard,AVG(historical_clv + predicted_next_90d_profit),Customer Lifetime Value = AVERAGE(mart_clv[predicted_12m_clv]),Grow QoQ
Predicted CLV,AVG(predicted_12m_clv),Modeled 12-month customer value.,customer,Customer Analytics,Model scoring run,CLV dashboard,AVG(predicted_12m_clv),Predicted CLV = AVERAGE(mart_clv[predicted_12m_clv]),Grow QoQ
Revenue Per Customer,net_revenue / customers,Customer monetization rate.,customer,Finance Analytics,Daily,Executive dashboard,"SUM(net_revenue) / NULLIF(COUNT(DISTINCT customer_id),0)","Revenue Per Customer = DIVIDE([Revenue], [Customers])",Grow MoM
Purchase Frequency,orders / customer_age_days,Normalized buying frequency.,customer,Customer Analytics,Daily,Customer segments,AVG(purchase_frequency_30d),Purchase Frequency = AVERAGE(fact_customer_value[purchase_frequency_30d]),Monitor by segment
Discount Rate,discount_amount / gross_revenue,Promotion dependency.,order/customer/product,Finance Analytics,Daily,Revenue leakage,"SUM(discount_amount) / NULLIF(SUM(gross_revenue),0)","Discount Rate = DIVIDE(SUM(fact_orders[discount_amount]), SUM(fact_orders[gross_revenue]))",Reduce wasted discounting
Return Rate,returned_orders / orders,Product return leakage.,order/product,Product Analytics,Daily,Product profitability,AVG(return_flag),"Return Rate = DIVIDE([Returned Orders], [Orders])",Below 10%
Engagement Rate,clicks / email_opens,Lifecycle engagement quality.,customer,Lifecycle Marketing,Campaign refresh,Customer overview,"SUM(clicks) / NULLIF(SUM(email_opens),0)","Engagement Rate = DIVIDE(SUM(fact_engagement[clicks]), SUM(fact_engagement[email_opens]))",Above 20%
Cohort Retention %,active_cohort_customers / cohort_customers,Month-index retention by cohort.,cohort month,Customer Analytics,Daily,Cohort dashboard,"SUM(customers) / NULLIF(SUM(cohort_customers),0)",Cohort Retention % = AVERAGE(mart_cohort_retention[retention_rate]),Improve by month
Segment Contribution %,segment_revenue / total_revenue,Segment share of business performance.,segment,BI Engineering,Daily,Segment strategy,SUM(segment_revenue) / SUM(total_revenue),"Segment Contribution % = DIVIDE([Segment Revenue], [Revenue])",Monitor mix shifts
Product Affinity Score,confidence * lift,Cross-sell strength between categories/products.,product pair,Product Analytics,Daily,Product affinity,confidence * lift,Product Affinity Score = MAX(mart_product_affinity[affinity_score]),Prioritize top decile
Retention Investment Priority Score,"rank(churn risk, CLV, profit at risk)",Targeting score for lifecycle spend.,customer,Lifecycle Marketing,Model scoring run,Activation exports,weighted rank score,Retention Investment Priority Score = AVERAGE(next_best_actions[action_priority_score]),Top priority bands
Revenue Leakage from Returns,SUM(return_loss),Revenue/profit impact of returns.,order/product,Finance Analytics,Daily,Revenue leakage,SUM(return_loss),Revenue Leakage from Returns = SUM(fact_orders[return_loss]),Reduce MoM
Revenue Leakage from Discounts,SUM(discount_amount),Revenue leakage from promotions.,order/customer/product,Finance Analytics,Daily,Revenue leakage,SUM(discount_amount),Revenue Leakage from Discounts = SUM(fact_orders[discount_amount]),Reduce inefficient discounting
